pokemon_id,item_name,version_name,rarity
12,silver-powder,ruby,5
12,silver-powder,sapphire,5
12,silver-powder,emerald,5
12,silver-powder,firered,5
12,silver-powder,leafgreen,5
12,silver-powder,diamond,5
12,silver-powder,pearl,5
12,silver-powder,platinum,5
12,silver-powder,heartgold,5
12,silver-powder,soulsilver,5
12,silver-powder,black,5
12,silver-powder,white,5
12,silver-powder,black-2,5
12,silver-powder,white-2,5
12,silver-powder,x,5
12,silver-powder,y,5
12,silver-powder,omega-ruby,5
12,silver-powder,alpha-sapphire,5
12,silver-powder,sun,5
12,silver-powder,moon,5
12,silver-powder,ultra-sun,5
12,silver-powder,ultra-moon,5
15,poison-barb,ruby,5
15,poison-barb,sapphire,5
15,poison-barb,emerald,5
15,poison-barb,firered,5
15,poison-barb,leafgreen,5
15,poison-barb,diamond,5
15,poison-barb,pearl,5
15,poison-barb,platinum,5
15,poison-barb,heartgold,5
15,poison-barb,soulsilver,5
15,poison-barb,black,5
15,poison-barb,white,5
15,poison-barb,black-2,5
15,poison-barb,white-2,5
15,poison-barb,x,5
15,poison-barb,y,5
15,poison-barb,omega-ruby,5
15,poison-barb,alpha-sapphire,5
15,poison-barb,sun,5
15,poison-barb,moon,5
15,poison-barb,ultra-sun,5
15,poison-barb,ultra-moon,5
19,chilan-berry,diamond,5
19,chilan-berry,pearl,5
19,chilan-berry,platinum,5
19,chilan-berry,heartgold,5
19,chilan-berry,soulsilver,5
19,chilan-berry,black,5
19,chilan-berry,white,5
20,oran-berry,firered,50
20,oran-berry,leafgreen,50
20,sitrus-berry,firered,5
20,sitrus-berry,leafgreen,5
20,chilan-berry,diamond,5
20,chilan-berry,pearl,5
20,chilan-berry,platinum,5
20,chilan-berry,heartgold,5
20,chilan-berry,soulsilver,5
20,chilan-berry,black,5
20,chilan-berry,white,5
21,sharp-beak,sun,5
21,sharp-beak,moon,5
21,sharp-beak,ultra-sun,5
21,sharp-beak,ultra-moon,5
22,sharp-beak,ruby,5
22,sharp-beak,sapphire,5
22,sharp-beak,emerald,5
22,sharp-beak,firered,5
22,sharp-beak,leafgreen,5
22,sharp-beak,diamond,5
22,sharp-beak,pearl,5
22,sharp-beak,platinum,5
22,sharp-beak,heartgold,5
22,sharp-beak,soulsilver,5
22,sharp-beak,black,5
22,sharp-beak,white,5
22,sharp-beak,black-2,5
22,sharp-beak,white-2,5
22,sharp-beak,x,5
22,sharp-beak,y,5
22,sharp-beak,omega-ruby,5
22,sharp-beak,alpha-sapphire,5
22,sharp-beak,sun,5
22,sharp-beak,moon,5
22,sharp-beak,ultra-sun,5
22,sharp-beak,ultra-moon,5
24,poison-barb,firered,5
24,poison-barb,leafgreen,5
25,oran-berry,ruby,50
25,oran-berry,sapphire,50
25,oran-berry,emerald,50
25,oran-berry,diamond,50
25,oran-berry,pearl,50
25,oran-berry,platinum,50
25,oran-berry,heartgold,50
25,oran-berry,soulsilver,50
25,oran-berry,black,50
25,oran-berry,white,50
25,light-ball,ruby,5
25,light-ball,sapphire,5
25,light-ball,emerald,5
25,light-ball,diamond,5
25,light-ball,pearl,5
25,light-ball,platinum,5
25,light-ball,heartgold,5
25,light-ball,soulsilver,5
25,light-ball,black,1
25,light-ball,white,1
25,light-ball,black-2,5
25,light-ball,white-2,5
25,light-ball,x,5
25,light-ball,y,5
25,light-ball,omega-ruby,5
25,light-ball,alpha-sapphire,5
25,light-ball,sun,5
25,light-ball,moon,5
25,light-ball,ultra-sun,5
25,light-ball,ultra-moon,5
26,oran-berry,ruby,5
26,oran-berry,sapphire,5
26,oran-berry,emerald,5
26,oran-berry,diamond,5
26,oran-berry,pearl,5
26,oran-berry,platinum,5
26,oran-berry,heartgold,5
26,oran-berry,soulsilver,5
26,oran-berry,black,50
26,oran-berry,white,50
27,quick-claw,ruby,5
27,quick-claw,sapphire,5
27,quick-claw,emerald,5
